y,n,n_sites,r2_within,ok,xvars,beta_GP,se_GP,p_GP,ci95_lo_GP,ci95_hi_GP,beta_logP,se_logP,p_logP,ci95_lo_logP,ci95_hi_logP,sample,family
logR_mod,29949,1063,0.5049754023725688,True,GP+logP,15.218281466262821,0.2964960665450133,0.0,14.637159854276804,15.799403078248838,3.3562618380137894,0.03932150421369749,0.0,3.2791931059370025,3.4333305700905763,all,bucket_R
frac_q10_mod,35016,1075,0.38682071565757736,True,GP+logP,-0.07007366094451956,0.006682168604671603,9.947826522181892e-26,-0.08317047074830017,-0.05697685114073894,-0.04094710240604706,0.001227134845815392,3.986628502515091e-244,-0.04335224250801934,-0.038541962304074785,all,bucket_q10
logR,34530,1056,0.35471720007834384,True,GP+logP,-1.4417892412971294,0.1322433536979664,1.1207664485498072e-27,-1.7009814517399353,-1.1825970308543234,1.3533157130557558,0.03778099907220164,5.3915123024925526e-281,1.2792663155742994,1.4273651105372123,bucket_overlap,obs_R
frac_q10_mod,6495,189,0.3845205109009162,True,GP+logP,-0.07289185059171527,0.02305270045430772,0.0015670796408489035,-0.11807431322854854,-0.027709387954881995,-0.052361784392072924,0.002596389799625562,1.9029099225994135e-90,-0.057450614889166196,-0.04727295389497965,Northeast,bucket_q10
logR_mod,6354,189,0.5680536067091726,True,GP+logP,15.995704933656542,0.5776414273705375,8.86051814190665e-169,14.86354854003198,17.127861327281106,3.943570228800348,0.16990313451118733,3.550678664024742e-119,3.6105662042979563,4.276574253302739,Northeast,bucket_R
frac_q10_mod,8936,288,0.5403489626036233,True,GP+logP,-0.08771962571341885,0.009468180543022498,1.9567035408812556e-20,-0.10627691857686583,-0.06916233284997186,-0.05214458414236045,0.0020221982830153956,1.2701252004440631e-146,-0.05610801994666936,-0.04818114833805154,South,bucket_q10
logR_mod,8368,288,0.6661231523284062,True,GP+logP,13.546135474917675,0.4659337648273657,7.85922135134757e-186,12.632922076674882,14.459348873160467,3.2795563231303864,0.06265873157647935,0.0,3.1567474659235244,3.4023651803372483,South,bucket_R
frac_q10_mod,8211,262,0.6477588084432169,True,GP+logP,-0.08053148857103455,0.006746618664568933,7.630506389398926e-33,-0.09375461817101538,-0.06730835897105372,-0.0701866654938191,0.0014135201952341673,0.0,-0.0729571141678981,-0.06741621681974011,Interior,bucket_q10
logR_mod,8137,262,0.6378368747916345,True,GP+logP,12.142095738440284,0.525066286375806,2.602319394439301e-118,11.112984727647511,13.171206749233058,3.2379148290393234,0.06855236621729958,0.0,3.103554660198416,3.372274997880231,Interior,bucket_R
frac_q10_mod,11374,336,0.27905477744213936,True,GP+logP,-0.05009754365303554,0.005580822784168093,2.7893134064695556e-19,-0.06103575531410555,-0.03915933199196552,-0.02148726633698553,0.0013957644283821458,1.778597220686004e-53,-0.024222914347516673,-0.01875161832645439,West,bucket_q10
logR_mod,7090,324,0.3870980096790728,True,GP+logP,19.23705737947843,0.7460274253951394,1.2732916076895286e-146,17.774870494224814,20.699244264732044,3.5104544167176983,0.08466262047811601,0.0,3.3445187297438075,3.676390103691589,West,bucket_R
