y,n,n_sites,r2_within,ok,xvars,beta_GP,se_GP,p_GP,ci95_lo_GP,ci95_hi_GP,beta_logP,se_logP,p_logP,ci95_lo_logP,ci95_hi_logP,param,sample,family,reason,beta_logQ,se_logQ,p_logQ,ci95_lo_logQ,ci95_hi_logQ
logLoad,11507,637.0,0.35902951962263574,True,GP+logP,-1.0552113621039432,0.25679149255085154,3.9700694321733235e-05,-1.5585134390398978,-0.5519092851679885,1.4840497666900048,0.06179190807946049,1.8522656450969388e-127,1.3629398523182525,1.605159681061757,TN,paired,load,,,,,,
logLoad_dry,9635,637.0,0.2123515468515147,True,GP+logP,-1.8551521415830885,0.42888618180248045,1.5217828057714159e-05,-2.695753611382848,-1.0145506717833288,1.6663113077849936,0.086703325909513,2.5895604038405482e-82,1.4963759116625095,1.8362467039074777,TN,paired,load,,,,,,
logLoad_wet,10096,637.0,0.2392040338305823,True,GP+logP,-1.3929918759474742,0.313397692589132,8.797130335164183e-06,-2.0072400662601284,-0.77874368563482,1.3088439375961682,0.07086841778827548,3.692085308716176e-76,1.1699443910898106,1.4477434841025258,TN,paired,load,,,,,,
logR,11507,637.0,0.4438661493642586,True,GP+logP,-1.2967515341947107,0.19003526471196305,8.869939161436368e-12,-1.6692138088226938,-0.9242892595667276,1.3672112301768704,0.055860836000467685,2.706712558275035e-132,1.2577260034696554,1.4766964568840855,TN,paired,load,,,,,,
logC,11657,647.0,0.05365377019349582,True,GP+logP,0.25423907048411226,0.17192511456133136,0.1391996677732715,-0.08272796209402,0.5912061030622445,0.11100558792254783,0.024450840505649215,5.62676290911615e-06,0.06308282113974226,0.1589283547053534,TN,paired,load,,,,,,
logC_low,9765,647.0,0.03841629208588582,True,GP+logP,0.09073549576737576,0.2224636929441898,0.6833716621801964,-0.3452853302710136,0.5267563218057651,0.15568266345663456,0.034939682975925576,8.359850170825679e-06,0.08720214319257318,0.22416318372069594,TN,paired,load,,,,,,
logC_high,10223,647.0,0.04702746043535477,True,GP+logP,0.1876137871470329,0.20278486610409208,0.35486899012287776,-0.2098372470267648,0.5850648213208306,0.05580513767704891,0.030640282667766087,0.06856131180096063,-0.004248712827899466,0.11585898818199727,TN,paired,load,,,,,,
share_wet_load,10096,637.0,0.07214636704136534,True,GP+logP,-0.005590527306092077,0.07036195063367827,0.9366716442643274,-0.14349741643008673,0.13231636181790257,-0.060585556616856044,0.011643138474969564,1.955258491612193e-07,-0.083405688694809,-0.03776542453890309,TN,paired,load,,,,,,
logLoad,2405,136.0,0.40042112514592487,True,GP+logP,-2.2165517184995074,0.8040531971135018,0.005838383657674065,-3.792467026496256,-0.6406364105027589,0.9649041291507577,0.12387071517804885,6.721819983062639e-15,0.7221219886625629,1.2076862696389525,TN,West,load_region,,,,,,
logLoad_dry,1820,136.0,0.2072652248675937,True,GP+logP,-2.5685432029466604,1.1424171612000464,0.02455446201382894,-4.80763969421924,-0.32944671167408,0.7082365864997284,0.12432981720326301,1.2233928507494677e-08,0.4645546225768845,0.9519185504225723,TN,West,load_region,,,,,,
logC_low,1895,141.0,0.06383914813292724,True,GP+logP,-0.48118557028348913,0.5307484352413939,0.3646093525920545,-1.5214333882076103,0.5590622476406322,0.0791593130844815,0.07151554610787712,0.26834469293636454,-0.06100858162167129,0.2193272077906343,TN,West,load_region,,,,,,
logC_high,2117,141.0,0.09927735284970263,True,GP+logP,-1.1990833010176707,0.684477581892208,0.07980431586822498,-2.5406347097514637,0.1424681077161225,-0.08230158721247606,0.06893689223950444,0.23252939365698,-0.21741541320802354,0.05281223878307141,TN,West,load_region,,,,,,
logLoad,2538,163.0,0.4965514395714419,True,GP+logP,-0.2568753927331803,0.5887065671585907,0.6625910880553769,-1.4107190618262289,0.8969682763598682,1.8610568538442356,0.12560669828556933,1.1453141849315795e-49,1.6148722489875307,2.1072414587009405,TN,Interior,load_region,,,,,,
logLoad_dry,2188,163.0,0.2855951542889902,True,GP+logP,-2.2648423254292513,1.2585702196561717,0.07193394629840656,-4.731594627970013,0.20190997711151004,1.9209874068491697,0.21799317818756211,1.2277412147580706e-18,1.4937286287261253,2.348246184972214,TN,Interior,load_region,,,,,,
logC_low,2188,163.0,0.06328775119396202,True,GP+logP,-0.8768375699564898,0.5519844923316851,0.11216914430786139,-1.958707294951218,0.20503215503823868,0.2510656120043564,0.08958791613229126,0.005071615362873535,0.07547652293507062,0.4266547010736422,TN,Interior,load_region,,,,,,
logC_high,2356,163.0,0.07264861371283349,True,GP+logP,0.525941247530002,0.4355663042646588,0.2272441205938346,-0.3277530217079442,1.3796355167679484,0.19816622049907293,0.07075038081692232,0.005095700722238875,0.059498022205411644,0.33683441879273424,TN,Interior,load_region,,,,,,
logLoad,3269,179.0,0.37218452062694873,True,GP+logP,-1.4195059850544718,0.5604028383551752,0.011308773153362813,-2.517875365064637,-0.32113660504430674,1.6158519521788115,0.08795699960332433,2.2452808406212124e-75,1.4434594007680919,1.7882445035895311,TN,South,load_region,,,,,,
logLoad_dry,2634,179.0,0.2489764579965167,True,GP+logP,-2.632052186962892,0.9255406234097252,0.004457905652967934,-4.446078475074703,-0.8180258988510816,1.718344174081666,0.1643062854198306,1.3441724025192742e-25,1.3963097722252396,2.040378575938093,TN,South,load_region,,,,,,
logC_low,2689,184.0,0.05343618033413233,True,GP+logP,0.27084265005561664,0.4593029472549346,0.5554039096091885,-0.6293745845571552,1.1710598846683886,0.035908271251779623,0.05634609403840747,0.5239421009947646,-0.07452804373300606,0.14634458623656532,TN,South,load_region,,,,,,
logC_high,2874,184.0,0.06081109347954605,True,GP+logP,1.2974560378578037,0.4126846398908534,0.001666892113762758,0.4886090066988493,2.106303069016758,0.01202438744889165,0.05148617000076316,0.8153374783779646,-0.08888665145451072,0.112935426352294,TN,South,load_region,,,,,,
logLoad,3295,159.0,0.5239167836125853,True,GP+logP,0.12271512304060242,0.30741068503432767,0.6897535664786618,-0.479798748089466,0.7252289941706708,0.9644282381639647,0.09590341809650094,8.622485464787926e-24,0.776460992700536,1.1523954836273935,TN,Northeast,load_region,,,,,,
logLoad_dry,2993,159.0,0.4645610763606324,True,GP+logP,0.21690339789551905,0.5058203192766693,0.6680577788759883,-0.774486210535304,1.208293006326342,1.5088503816559906,0.14618340212216685,5.626225665471973e-25,1.2223361783590074,1.7953645849529738,TN,Northeast,load_region,,,,,,
logC_low,2993,159.0,0.08500874663753943,True,GP+logP,0.41234537973954294,0.3620203614850921,0.25469832914496704,-0.2972014904414089,1.1218922499204949,0.37443424242095175,0.13593289378348974,0.005877252597536946,0.10801066629100325,0.6408578185509002,TN,Northeast,load_region,,,,,,
logC_high,2876,159.0,0.1257172664393259,True,GP+logP,0.28762467738028424,0.308502694284599,0.35116875410413306,-0.3170294925511005,0.892278847311669,0.1535288183322931,0.10381361533168118,0.13916997198134806,-0.04994212882269719,0.3569997654872834,TN,Northeast,load_region,,,,,,
logLoad,10962,600.0,0.2574821544949787,True,GP+logP,-0.9831868383149848,0.30469173121006304,0.0012517207234114852,-1.5803716578738671,-0.3860020187561024,1.4634494765535309,0.08255498253948931,2.596685540316239e-70,1.3016446840317988,1.625254269075263,NO3N,paired,load,,,,,,
logLoad_dry,9178,600.0,0.15858771221344048,True,GP+logP,-1.69198370048166,0.47450085121319685,0.0003627229687675892,-2.6219882794931246,-0.7619791214701954,1.618791106398296,0.11720458221463353,2.1674543014757104e-43,1.3890743464345505,1.8485078663620416,NO3N,paired,load,,,,,,
logLoad_wet,9673,600.0,0.18004294621487205,True,GP+logP,-1.2823889250675695,0.36131540605594653,0.0003863698262384851,-1.9905541079966902,-0.574223742138449,1.2847773921329384,0.0872290401718209,4.212383006887743e-49,1.1138116149901718,1.455743169275705,NO3N,paired,load,,,,,,
logR,10962,600.0,0.42450076026083117,True,GP+logP,-1.3371374718534292,0.20159740380515362,3.295750065471364e-11,-1.7322611226883085,-0.94201382101855,1.3802547563622334,0.07063018672479335,4.8258637765748094e-85,1.2418221341602993,1.5186873785641675,NO3N,paired,load,,,,,,
logC,11145,612.0,0.021706266287617182,True,GP+logP,0.34136114437393306,0.22803336602277605,0.13439874048928782,-0.10557604030414763,0.7882983290520138,0.07223255728810651,0.0335005292602114,0.031071042977658166,0.0065727264750619074,0.13789238810115112,NO3N,paired,load,,,,,,
logC_low,9342,612.0,0.01507607220683782,True,GP+logP,0.1389036170313884,0.3082020040790313,0.6522128601034785,-0.4651612109265798,0.7429684449893567,0.20585795139852114,0.04730351683518269,1.349917653402093e-05,0.11314476205947895,0.29857114073756336,NO3N,paired,load,,,,,,
logC_high,9835,612.0,0.016519781583913873,True,GP+logP,0.32205823534579736,0.25679609058821884,0.20979114302810564,-0.18125285357779675,0.8253693242693915,-0.049721915009367235,0.04618728945015556,0.28169114013254215,-0.1402473388751989,0.04080350885646446,NO3N,paired,load,,,,,,
share_wet_load,9673,600.0,0.04526638238673164,True,GP+logP,-0.0572339567694327,0.08007498008944504,0.47476072074361353,-0.21417803380750688,0.0997101202686415,-0.05734277400847929,0.013855187649076495,3.4924538153832755e-05,-0.0844984427997134,-0.030187105217245182,NO3N,paired,load,,,,,,
logLoad,2561,142.0,0.2535042734643056,True,GP+logP,-2.3781132399110394,0.6633730429029949,0.00033723227947628605,-3.6783005123156536,-1.0779259675064252,0.7737357816145051,0.13971373430552106,3.059312492606464e-08,0.4999018942300856,1.0475696689989245,NO3N,West,load_region,,,,,,
logLoad_dry,1956,142.0,0.1174634310273267,True,GP+logP,-1.976252980220493,0.9465871264755569,0.0368188944229819,-3.8315296563418455,-0.12097630409914029,0.3849235475029157,0.11576053513279398,0.0008836439423910664,0.15803706781155588,0.6118100271942755,NO3N,West,load_region,,,,,,
logC_low,2027,146.0,0.0336343867436133,True,GP+logP,-0.33740382815283193,0.6231647138242733,0.5882070792580032,-1.5587842236846172,0.8839765673789532,-0.0170546798853506,0.0684897643043284,0.8033525528531232,-0.15129215123147127,0.11718279146077006,NO3N,West,load_region,,,,,,
logC_high,2225,146.0,0.04310058622912194,True,GP+logP,0.22314852202269295,0.7462633230957751,0.7649239030088759,-1.2395007142282042,1.6857977582735901,-0.10912449417518874,0.09115485667042107,0.23125468878502975,-0.28778473026512474,0.06953574191474726,NO3N,West,load_region,,,,,,
logLoad,2228,134.0,0.3749384230919759,True,GP+logP,-0.8101887002043033,0.693360048732407,0.24260660253443567,-2.169149424038758,0.548772023630151,1.970067301329658,0.14415138567301963,1.6060949165798314e-42,1.6875357770889963,2.2525988255703195,NO3N,Interior,load_region,,,,,,
logLoad_dry,1923,134.0,0.22353791160996528,True,GP+logP,-2.433438521783455,1.276496195190382,0.05660582689704057,-4.935325090759014,0.06844804719210451,2.3662720331297407,0.2622314248676847,1.820041562849718e-19,1.8523078847744574,2.880236181485024,NO3N,Interior,load_region,,,,,,
logC_low,1933,135.0,0.052551053635821576,True,GP+logP,-0.6330589488162922,0.7156911554749699,0.3764036531174405,-2.0357878376010894,0.7696699399685051,0.5820629623382082,0.13360656811125554,1.3213182676528e-05,0.3201989007421497,0.8439270239342667,NO3N,Interior,load_region,,,,,,
logC_high,2019,135.0,0.07168826219947655,True,GP+logP,-0.11428176164292907,0.6085989249128541,0.8510503311382087,-1.3071137355019196,1.0785502122160615,0.10890333089326872,0.09681527980499025,0.2606496984789397,-0.0808511306776802,0.29865779246421764,NO3N,Interior,load_region,,,,,,
logLoad,3251,168.0,0.3200833666549825,True,GP+logP,-0.3881006428207681,0.7085776511272357,0.5838856389136109,-1.7768873192801373,1.0006860336386012,1.7504849501037905,0.09960315501197184,3.8564513777917837e-69,1.5552663535337654,1.9457035466738155,NO3N,South,load_region,,,,,,
logLoad_dry,2610,168.0,0.18967250258808133,True,GP+logP,-2.094381013969347,1.0314075335382213,0.04229510774343884,-4.115902633087549,-0.0728593948511449,1.897876552201414,0.17520816485039206,2.4246508694926204e-27,1.554474859297289,2.2412782451055393,NO3N,South,load_region,,,,,,
logC_low,2682,174.0,0.026078441196344615,True,GP+logP,0.26645579861126056,0.7732383810790774,0.7303971940062943,-1.2490635797677887,1.7819751769903098,0.20210034434027166,0.10016804836913111,0.04363159462825521,0.005774577135108594,0.3984261115454347,NO3N,South,load_region,,,,,,
logC_high,2913,174.0,0.03823102088796215,True,GP+logP,1.87640963393442,0.6104030896725595,0.0021117401827540345,0.6800415621242304,3.0727777057446097,-0.10337489874501334,0.08575208596825945,0.22800692269383827,-0.2714458988419844,0.0646961013519577,NO3N,South,load_region,,,,,,
logLoad,2922,156.0,0.43487984944356817,True,GP+logP,-0.020875069101728795,0.3281931810135405,0.9492839210399276,-0.6641218838599028,0.6223717456564453,0.8753402479483317,0.13463750161559906,7.954451575700839e-11,0.6114555938133042,1.1392249020833591,NO3N,Northeast,load_region,,,,,,
logLoad_dry,2689,156.0,0.40857291062645884,True,GP+logP,0.1684676137634601,0.5837723384617042,0.7728994037037831,-0.9757051447922066,1.3126403723191267,1.5755218984334263,0.19124759033857272,1.749277495326428e-16,1.2006835092397532,1.9503602876270993,NO3N,Northeast,load_region,,,,,,
logC_low,2700,157.0,0.04298306285218323,True,GP+logP,0.06867969571009165,0.4300891874875764,0.8731275620703318,-0.7742796219056529,0.9116390133258363,0.3487705033164002,0.1708471710417613,0.04120928919105853,0.013916201213993562,0.6836248054188068,NO3N,Northeast,load_region,,,,,,
logC_high,2678,157.0,0.09199164554608319,True,GP+logP,-0.1316016538119969,0.3504226353911245,0.7072505492823342,-0.8184173985462118,0.5552140909222181,0.07377156325078621,0.11605777298432411,0.5250077189499531,-0.1536974919244147,0.30124061842598715,NO3N,Northeast,load_region,,,,,,
logLoad,17881,989.0,0.25327822891490503,True,GP+logP,-0.858911084783778,0.28395288474646596,0.002487674679137611,-1.4154485121931042,-0.30237365737445177,1.502229099339134,0.058502235770322965,2.0508204622170786e-145,1.3875668242142303,1.6168913744640379,TP,paired,load,,,,,,
