y,n,n_sites,r2_within,ok,xvars,beta_GP,se_GP,p_GP,ci95_lo_GP,ci95_hi_GP,beta_logP,se_logP,p_logP,ci95_lo_logP,ci95_hi_logP,sample,family,reason
GQ,35006,1075.0,0.0562142895296129,True,GP+logP,0.3183404854052485,0.0234992166057242,8.269780960968412e-42,0.2722828671931235,0.3643981036173736,0.0478222438256743,0.0049753220810474,7.1229991044320015e-22,0.0380707917353344,0.0575736959160142,all,gq,
GQ_minus_GP,35006,1075.0,0.1094433877359783,True,GP+logP,-0.6816595145947484,0.0234992166057242,5.2529081453733355e-185,-0.7277171328068734,-0.6356018963826233,0.0478222438256743,0.0049753220810474,7.122999104431388e-22,0.0380707917353345,0.0575736959160142,all,gq,
logR,34530,1056.0,0.3547172000783438,True,GP+logP,-1.4417892412971294,0.1322433536979664,1.1207664485498072e-27,-1.700981451739935,-1.1825970308543234,1.3533157130557558,0.0377809990722016,5.3915123024925526e-281,1.2792663155742994,1.4273651105372125,gq_overlap,hydro_check,
GQ,11366,336.0,0.1084548369233074,True,GP+logP,0.1481762340602734,0.0507859986833274,0.0035266961774929,0.0486375057220529,0.2477149623984939,0.0651736708440393,0.0081348323567251,1.1315229311681105e-15,0.049229692404587,0.0811176492834916,West,gq,
logR,11193,328.0,0.3619570698065292,True,GP+logP,-2.149422824529963,0.2695800137470113,1.5458302410722997e-15,-2.677789942425917,-1.621055706634008,0.9169649598698832,0.0618256316629008,9.170348880673358e-50,0.7957889484891584,1.038140971250608,West,hydro_check,
GQ,8211,262.0,0.1771083380512885,True,GP+logP,0.2479593311924417,0.0430592990083709,8.483714708136114e-09,0.1635646559364934,0.3323540064483901,-0.0268751537521236,0.0089282870147949,0.0026115042089794,-0.0443742747447584,-0.0093760327594888,Interior,gq,
logR,8185,261.0,0.5712915315880753,True,GP+logP,-0.6337253990474673,0.1995532370478127,0.0014946464174728,-1.0248425566595645,-0.2426082414353703,1.5737349014241129,0.0453870342831235,1.9653977910698207e-263,1.484777948864106,1.6626918539841198,Interior,hydro_check,
GQ,8934,288.0,0.10520656737994,True,GP+logP,0.4727757518802905,0.0392289127598126,1.899515497539066e-33,0.395888495718394,0.549663008042187,0.0558923593212851,0.0087989816472187,2.1234055284764694e-10,0.0386466721921075,0.0731380464504627,South,gq,
logR,8690,279.0,0.4370492175316696,True,GP+logP,-0.9939863922330806,0.3086093132454137,0.0012780800996606,-1.5988495314877316,-0.3891232529784297,1.7251503532813417,0.0593120946275689,5.400582547497848e-186,1.6089007839636749,1.8413999225990083,South,hydro_check,
GQ,6495,189.0,0.3861084020211066,True,GP+logP,0.1307722617071351,0.0322949674890257,5.136935989453919e-05,0.0674752885467526,0.1940692348675176,-0.0115308920835208,0.0067314785608206,0.0867161114400994,-0.0247243476254328,0.001662563458391,Northeast,gq,
logR,6462,188.0,0.6877652126698778,True,GP+logP,-0.1971497620790608,0.0908329194532754,0.0299715626895782,-0.3751790128181084,-0.0191205113400132,0.7802266214178627,0.0501663369047542,1.5231736903326635e-54,0.6819024078482419,0.8785508349874835,Northeast,hydro_check,
GQ,15601,521.0,0.0687147733451548,True,GP+logP,0.3379112870458748,0.0360303489410741,6.690630678063827e-21,0.2672931007709587,0.4085294733207909,0.0419407695595501,0.0074688886234579,1.961122409223565e-08,0.0273020168530316,0.0565795222660687,small,gq,
logR,15601,521.0,0.4024360505738548,True,GP+logP,-0.826141435309567,0.1458085339995931,1.4622636134870892e-08,-1.111920910587353,-0.5403619600317806,1.4750615582708213,0.0578591164366318,2.2963805115689048e-143,1.3616597738777134,1.5884633426639292,small,hydro_check,
GQ,12506,357.0,0.0652069288999609,True,GP+logP,0.3113181636999853,0.0357343528189684,2.985241542364445e-18,0.2412801191639598,0.3813562082360108,0.0597535568262474,0.0088154122073679,1.2159354849102671e-11,0.0424756663909315,0.0770314472615634,mid,gq,
logR,12506,357.0,0.3670601078991984,True,GP+logP,-1.4299083236688832,0.2554057235280772,2.1611980234293812e-08,-1.930494343229309,-0.9293223041084576,1.435658396879967,0.0668124379037203,2.0208337001251844e-102,1.3047084248693563,1.5666083688905776,mid,hydro_check,
GQ,6423,178.0,0.0652112540461911,True,GP+logP,0.2989705656103816,0.0622155695285739,1.544440577057698e-06,0.177030290056729,0.4209108411640342,0.0446365744536283,0.0102014164604576,1.211393750848882e-05,0.0246421655998372,0.0646309833074194,large,gq,
logR,6423,178.0,0.3215449875888764,True,GP+logP,-2.668192006010236,0.3382845116835972,3.0849791045026718e-15,-3.3312174654378053,-2.0051665465826662,0.9918843045891786,0.070029954649204,1.5365227972674913e-45,0.8546281156377653,1.129140493540592,large,hydro_check,
logR_thr1,35016,1075.0,0.98411613997591,True,GP+logP,1.0084919787279616,0.0361230443340853,1.6024219348693266e-171,0.9376921128212108,1.0792918446347124,1.1731084057226535,0.0075005777881461,0.0,1.158407543394646,1.1878092680506611,all,horton,
logR_thr5,35008,1075.0,0.9034411839753606,True,GP+logP,4.576758718454242,0.1091848956390613,0.0,4.3627602553459175,4.790757181562566,1.6325978653493352,0.0131916885401356,0.0,1.6067426309153996,1.6584530997832707,all,horton,
logR_thr10,34884,1075.0,0.681381681818761,True,GP+logP,9.287114112791487,0.2104446912996669,0.0,8.87465009710649,9.699578128476483,2.205510660828096,0.0239011847744322,0.0,2.158665199482372,2.25235612217382,all,horton,
logR,34530,1056.0,0.3547172000783438,True,GP+logP,-1.4417892412971294,0.1322433536979664,1.1207664485498072e-27,-1.700981451739935,-1.1825970308543234,1.3533157130557558,0.0377809990722016,5.3915123024925526e-281,1.2792663155742994,1.4273651105372125,thr_overlap,horton,
logR,12642,369.0,0.3469972807490613,True,GP+logP,-1.771998666541807,0.2295585323089261,1.1710033171310224e-14,-2.221925122211177,-1.3220722108724374,1.1848310114257037,0.0589720639033887,8.77619570905405e-90,1.0692478900810671,1.3004141327703402,nldi_down,network,
