y,n,n_sites,r2_within,ok,xvars,beta_GP,se_GP,p_GP,ci95_lo_GP,ci95_hi_GP,beta_logP,se_logP,p_logP,ci95_lo_logP,ci95_hi_logP,sample,family,beta_nwet_frac,se_nwet_frac,p_nwet_frac,ci95_lo_nwet_frac,ci95_hi_nwet_frac,beta_p95share,se_p95share,p_p95share,ci95_lo_p95share,ci95_hi_p95share
logR,34530,1056,0.35471720007834384,True,GP+logP,-1.4417892412971294,0.1322433536979664,1.1207664485498072e-27,-1.7009814517399353,-1.1825970308543234,1.3533157130557558,0.03778099907220164,5.3915123024925526e-281,1.2792663155742994,1.4273651105372123,all,hydro,,,,,,,,,,
logRP,34530,1056,0.12739983170966507,True,GP+logP,-1.4417892412971247,0.13224335369796636,1.1207664485502246e-27,-1.7009814517399304,-1.182597030854319,0.3533157130557565,0.03778099907220165,8.626859278962337e-21,0.27926631557430004,0.42736511053721293,all,hydro,,,,,,,,,,
logR_dry,34461,1056,0.17149392125179086,True,GP+logP,-2.459970294156216,0.2192408269092587,3.237938283584188e-29,-2.889674418839143,-2.030266169473289,1.4490465948727917,0.05287388875230396,2.3446383517573105e-165,1.3454156771956984,1.552677512549885,all,hydro,,,,,,,,,,
logR_wet,34520,1056,0.24891473400779163,True,GP+logP,-1.6401146727949745,0.16488232137620026,2.594219236255222e-23,-1.9632780843796858,-1.3169512612102632,1.2672064845298112,0.04132256847246192,1.6069788327880344e-206,1.1862157385750955,1.3481972304845269,all,hydro,,,,,,,,,,
logR,11193,328,0.3619570698065292,True,GP+logP,-2.149422824529963,0.2695800137470113,1.5458302410722997e-15,-2.6777899424259175,-1.621055706634008,0.9169649598698831,0.0618256316629008,9.170348880673358e-50,0.7957889484891584,1.038140971250608,West,hydro,,,,,,,,,,
logRP,11193,328,0.2066660344224598,True,GP+logP,-2.149422824529962,0.2695800137470112,1.5458302410722997e-15,-2.6777899424259166,-1.6210557066340074,-0.08303504013011699,0.061825631662900796,0.17925512679421607,-0.20421105151084176,0.03814097125060778,West,hydro,,,,,,,,,,
logR_dry,11147,328,0.16111749576337764,True,GP+logP,-2.8069031699853215,0.4161769464138414,1.535605949098452e-11,-3.6225949961523067,-1.9912113438183363,0.5764478431907968,0.06228099060970037,2.130335345151424e-20,0.45437934467430674,0.6985163417072868,West,hydro,,,,,,,,,,
logR_wet,11189,328,0.31428430880858027,True,GP+logP,-2.9481250105502883,0.33105963720070103,5.332946878621445e-19,-3.596989976198559,-2.2992600449020175,0.9459387483055306,0.06878305656659099,4.920191013816853e-43,0.811126434688431,1.0807510619226302,West,hydro,,,,,,,,,,
logR,8185,261,0.5712915315880753,True,GP+logP,-0.6337253990474673,0.19955323704781272,0.0014946464174728064,-1.0248425566595643,-0.2426082414353703,1.5737349014241129,0.045387034283123594,1.9653977910698207e-263,1.484777948864106,1.6626918539841198,Interior,hydro,,,,,,,,,,
logRP,8185,261,0.3317207376275423,True,GP+logP,-0.633725399047469,0.19955323704781264,0.001494646417472755,-1.0248425566595658,-0.24260824143537224,0.5737349014241112,0.04538703428312357,1.255396308685668e-36,0.4847779488641043,0.6626918539841181,Interior,hydro,,,,,,,,,,
logR_dry,8181,261,0.2885830085390997,True,GP+logP,-1.0924210362441504,0.4587820586763393,0.01725948567730786,-1.9916173480029173,-0.19322472448538353,2.2391952101408643,0.11502306874368105,2.0771362419945225e-84,2.013754138011975,2.464636282269754,Interior,hydro,,,,,,,,,,
logR_wet,8185,261,0.4190698438380517,True,GP+logP,-1.1975611619337703,0.26135660032395913,4.6033737679241825e-06,-1.7098106856905595,-0.6853116381769809,1.2183581299682456,0.05296487915227475,4.3366494532651755e-117,1.1145488743842706,1.3221673855522205,Interior,hydro,,,,,,,,,,
logR,8690,279,0.4370492175316696,True,GP+logP,-0.9939863922330806,0.30860931324541374,0.0012780800996606417,-1.5988495314877316,-0.38912325297842976,1.7251503532813417,0.059312094627568986,5.400582547497848e-186,1.6089007839636749,1.8413999225990085,South,hydro,,,,,,,,,,
logRP,8690,279,0.22446245691459388,True,GP+logP,-0.9939863922330798,0.30860931324541374,0.0012780800996606526,-1.5988495314877307,-0.389123252978429,0.7251503532813416,0.05931209462756899,2.2575389637561218e-34,0.6089007839636748,0.8413999225990084,South,hydro,,,,,,,,,,
logR_dry,8672,279,0.24933135420679686,True,GP+logP,-2.3679530534878306,0.4808027110337126,8.436062194755211e-07,-3.3103090507831263,-1.425597056192535,1.9004145382955324,0.09159641328083686,1.2860849865621794e-95,1.720888867152046,2.079940209439019,South,hydro,,,,,,,,,,
logR_wet,8684,279,0.2553374014127391,True,GP+logP,-1.1259042206328158,0.3992342199002646,0.004799976850516164,-1.9083889130332785,-0.3434195282323531,1.5622574347989522,0.07370023132059335,1.0079927665500465e-99,1.4178076357583183,1.7067072338395861,South,hydro,,,,,,,,,,
logR,6462,188,0.6877652126698778,True,GP+logP,-0.19714976207906085,0.09083291945327548,0.029971562689578242,-0.37517901281810845,-0.019120511340013246,0.7802266214178627,0.05016633690475421,1.5231736903326635e-54,0.6819024078482419,0.8785508349874835,Northeast,hydro,,,,,,,,,,
logRP,6462,188,0.3875569959867936,True,GP+logP,-0.19714976207906293,0.09083291945327555,0.029971562689576625,-0.37517901281811067,-0.01912051134001519,-0.219773378582135,0.050166336904754326,1.1819364157793794e-05,-0.31809759215175604,-0.12144916501251395,Northeast,hydro,,,,,,,,,,
logR_dry,6461,188,0.5125680115239408,True,GP+logP,-0.08074523685959531,0.30576172230664417,0.7917190780178858,-0.6800272004315552,0.5185367267123645,1.4018674373275388,0.09589826156786677,2.147641085207591e-48,1.2139102984745183,1.5898245761805594,Northeast,hydro,,,,,,,,,,
logR_wet,6462,188,0.5822806226311348,True,GP+logP,-0.386996080146819,0.11964804665219075,0.0012187563327825252,-0.6215019424056811,-0.15249021788795697,0.5989769151297153,0.0464659020794924,5.07962125756391e-38,0.5079054205447454,0.6900484097146852,Northeast,hydro,,,,,,,,,,
