y,xvars,n,n_sites,r2_within,ok,beta_logQ,se_logQ,ci95_lo_logQ,ci95_hi_logQ,sample,family,p_logQ,beta_GP,se_GP,p_GP,ci95_lo_GP,ci95_hi_GP,beta_logQ_x_GP,se_logQ_x_GP,p_logQ_x_GP,ci95_lo_logQ_x_GP,ci95_hi_logQ_x_GP,beta_logP,se_logP,p_logP,ci95_lo_logP,ci95_hi_logP,beta_frac_q10_dry,se_frac_q10_dry,p_frac_q10_dry,ci95_lo_frac_q10_dry,ci95_hi_frac_q10_dry,beta_logPET,se_logPET,p_logPET,ci95_lo_logPET,ci95_hi_logPET,beta_GP_x_logPET,se_GP_x_logPET,p_GP_x_logPET,ci95_lo_GP_x_logPET,ci95_hi_GP_x_logPET,beta_logP_lag,se_logP_lag,p_logP_lag,ci95_lo_logP_lag,ci95_hi_logP_lag,beta_GP_x_logP_lag,se_GP_x_logP_lag,p_GP_x_logP_lag,ci95_lo_GP_x_logP_lag,ci95_hi_GP_x_logP_lag,beta_GP_dry,se_GP_dry,p_GP_dry,ci95_lo_GP_dry,ci95_hi_GP_dry,beta_logP_dry,se_logP_dry,p_logP_dry,ci95_lo_logP_dry,ci95_hi_logP_dry,beta_GP_wet,se_GP_wet,p_GP_wet,ci95_lo_GP_wet,ci95_hi_GP_wet,beta_logP_wet,se_logP_wet,p_logP_wet,ci95_lo_logP_wet,ci95_hi_logP_wet
logC,logQ,6340,189,0.06364063213518745,True,0.08355364601562823,0.022791787566280208,0.038882563242431216,0.12822472878882524,TP_dry_NE,cq_all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logC,logQ,3286,189,0.06664389267638615,True,0.0554410519889503,0.023945970183846248,0.008507812853741678,0.10237429112415893,TP_dry_NE,cq_gp_hi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logC,logQ,3054,187,0.06632900293887456,True,0.11593965077587899,0.028293108362500746,0.060486177374688505,0.17139312417706948,TP_dry_NE,cq_gp_lo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logC,logQ+GP+logQ_x_GP+logP,6290,189,0.06885363992408011,True,0.07827111581309708,0.023063929571027326,0.03306664451191518,0.12347558711427897,TP_dry_NE,cq_x_gp,0.0006896547015776544,1.7423130565465998,0.5544903120696809,0.0016769006561566527,0.6555320151136501,2.8290940979795494,-0.43974372112407045,0.46153709074818006,0.3407010975696906,-1.344339796519898,0.4648523542717571,0.19308215444721638,0.16152885562670857,0.23195360790405128,-0.12350858504510248,0.5096728939395352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logC,logQ,8285,292,0.0286753551642297,True,0.0601427185912819,0.01585723498730721,0.029063109121771312,0.0912223280607925,TP_dry_South,cq_all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logC,logQ,4243,285,0.03862408953845076,True,0.06837259673296969,0.01780729159513708,0.033470946544298205,0.10327424692164118,TP_dry_South,cq_gp_hi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logC,logQ,4042,292,0.03623201055920788,True,0.044433923309593906,0.01947956450012112,0.006254678454831533,0.08261316816435628,TP_dry_South,cq_gp_lo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logC,logQ+GP+logQ_x_GP+logP,8031,285,0.03165774395783827,True,0.07329423117477499,0.01657605883994234,0.04080575284287122,0.10578270950667876,TP_dry_South,cq_x_gp,9.793086718452385e-06,0.5430346215765257,0.6695342174004264,0.417329329048597,-0.7692283309455209,1.8552975740985724,0.05061303311227718,0.4167084915893436,0.9033274182348684,-0.7661206024548483,0.8673466686794026,-0.1324510195468669,0.06044211130927321,0.028425040092544922,-0.25091538086260345,-0.013986658231130308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logC,logQ,29980,1071,0.025263880408985195,True,0.06814742382395833,0.008961213117989718,0.0505837688549106,0.08571107879300606,TP_dry_all,cq_all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logC,logQ,15665,1062,0.024586428780399516,True,0.06826791587466131,0.009955668959919088,0.04875516327121657,0.08778066847810606,TP_dry_all,cq_gp_hi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logC,logQ,14315,1063,0.02409241397955486,True,0.06898694224565728,0.010875236745167506,0.04767186990178237,0.09030201458953219,TP_dry_all,cq_gp_lo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logC,logQ+GP+logQ_x_GP+logP,29483,1064,0.026775677558397604,True,0.0730824421664329,0.009156419325755106,0.055136190060606376,0.09102869427225943,TP_dry_all,cq_x_gp,1.4450401452692884e-15,0.7455101538148198,0.30573379035794124,0.014751254400192397,0.14628293585633567,1.344737371773304,-0.22614869890140016,0.21923253463816833,0.30228430386636906,-0.6558365710316401,0.2035391732288397,-0.0020370906018903866,0.03181205990568888,0.9489422242096276,-0.06438758229107126,0.0603134010872905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logC,logQ,10357,466,0.019998737658036725,True,0.026941376594564553,0.025833043847513046,-0.02369045895760504,0.07757321214673416,NO3_dry_lowcrop,cq_all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logC,logQ,5326,451,0.02654905752477532,True,0.06097950678558713,0.030150406647279467,0.0018857956376823332,0.12007321793349193,NO3_dry_lowcrop,cq_gp_hi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logC,logQ,5031,441,0.021523208331640453,True,0.005914134470878893,0.02818534755159494,-0.04932813162199138,0.061156400563749165,NO3_dry_lowcrop,cq_gp_lo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logC,logQ+GP+logQ_x_GP+logP,10141,460,0.024465960878038207,True,0.0308274567913848,0.027351656684591028,-0.02278080522791783,0.08443571881068743,NO3_dry_lowcrop,cq_x_gp,0.25970940698251177,0.9387766422845532,0.34913261807728097,0.007169161504613932,0.25448928502490464,1.6230639995442018,0.5196559974194768,0.3976872507687518,0.191316270258729,-0.2597966911980256,1.2991086860369792,0.16016986661210444,0.06541415817571276,0.01434323406047247,0.0319604725087011,0.2883792607155078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logC,logQ,9576,444,0.058433344702688905,True,0.15915422000058052,0.025767137415275608,0.10865155868194583,0.20965688131921523,NO3_dry_highcrop,cq_all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logC,logQ,5133,437,0.06885963051246213,True,0.17944733171458335,0.028994887547901433,0.12261839638490767,0.23627626704425903,NO3_dry_highcrop,cq_gp_hi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logC,logQ,4443,421,0.049522846171004886,True,0.13051227447752878,0.029165008245053213,0.07334990870841075,0.18767464024664682,NO3_dry_highcrop,cq_gp_lo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logC,logQ+GP+logQ_x_GP+logP,9440,442,0.05997759870428021,True,0.15541491283419637,0.026591536288681834,0.10329645941479007,0.20753336625360266,NO3_dry_highcrop,cq_x_gp,5.080141172372227e-09,-0.5386951627373624,0.45746554827524216,0.2389702928949935,-1.4353111615247065,0.3579208360499817,1.3154794355787345,0.4351888332341704,0.002504655216890232,0.4625249959657528,2.1684338751917163,0.00841910477024284,0.04617443822986776,0.8553217266631984,-0.08208113116666738,0.09891934070715305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logC,logQ,6330,250,0.02720443570514841,True,-0.055566565546837955,0.025541588011779654,-0.10562715815788609,-0.0055059729357898254,NO3_wet_South,cq_all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logC,logQ,3224,240,0.023169682889370824,True,-0.02902134773189461,0.029144436531276508,-0.08614339368291002,0.028100698219120805,NO3_wet_South,cq_gp_hi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logC,logQ,3106,237,0.052856980186215985,True,-0.08525770581835981,0.027872962300461407,-0.13988770806970685,-0.030627703567012762,NO3_wet_South,cq_gp_lo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logC,logQ+GP+logQ_x_GP+logP,6108,244,0.026365414241616647,True,-0.03777638194784626,0.026123238016455178,-0.08897698761966596,0.01342422372397345,NO3_wet_South,cq_x_gp,0.1481537993243619,1.4188038305376762,0.5273921301693005,0.007140372163998383,0.3851342496759871,2.4524734113993656,1.1668029603891652,0.6155664926814904,0.05802690699253456,-0.03968519535619475,2.373291116134525,-0.021535659160605396,0.060068350933827376,0.7199547766325853,-0.13926746360161998,0.09619614528040918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logC,logQ,21012,984,0.05300854042764036,True,0.08553854930301538,0.009967470801084415,0.06600266551593532,0.10507443309009544,TN_dry_all,cq_all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logC,logQ,10977,961,0.06469419687764566,True,0.10079545561404019,0.01142919114152357,0.07839465260422976,0.12319625862385061,TN_dry_all,cq_gp_hi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logC,logQ,10035,932,0.044287817370369686,True,0.06663673365734743,0.011464766549951108,0.04416620412828373,0.08910726318641113,TN_dry_all,cq_gp_lo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logC,logQ+GP+logQ_x_GP+logP,20656,977,0.05555578897306257,True,0.08664261405220251,0.010557069901198403,0.06595113726358182,0.10733409084082321,TN_dry_all,cq_x_gp,2.266510147524311e-16,0.3866622054596596,0.2179232564491045,0.07601280354704777,-0.040459528574271264,0.8137839394935905,0.529817690148203,0.19825317841951104,0.0075304142068429525,0.14124860062536793,0.9183867796710381,0.0389470910935514,0.037332212130996155,0.29682928720478163,-0.03422270014641037,0.11211688233351316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frac_q10,GP+logP,34995,1074,0.2209658368719728,True,,,,,all,lowflow,,0.5663635918274125,0.03402871623842159,3.362130306801841e-62,0.49966853355997287,0.6330586500948521,,,,,,-0.2065390107000949,0.006810624414604493,5.207521652098921e-202,-0.2198875892649489,-0.1931904321352409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spell_q10,GP+logP,34995,1074,0.15819961204531685,True,,,,,all,lowflow,,110.75902248724108,7.0563247275160705,1.6002641979945403e-55,96.92888015809018,124.58916481639199,,,,,,-35.74363239894249,1.3164038731462733,2.366792201452937e-162,-38.32373657941822,-33.16352821846676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frac_q10_dry,GP+logP,34993,1074,0.17866444084874245,True,,,,,all,lowflow,,1.173398092762593,0.07000801922258537,4.7135607547361753e-63,1.036184896457338,1.3106112890678483,,,,,,-0.36658791160672394,0.013702344831730185,1.1193756625044155e-157,-0.39344401398066364,-0.33973180923278423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frac_q10,GP+logP,6495,189,0.4798883878844582,True,,,,,Northeast,lowflow,,0.06545097858173796,0.046959923263998664,0.16338934513524161,-0.02658877973246404,0.15749073689593995,,,,,,-0.19456282230105867,0.015642394998864204,1.6216994547782104e-35,-0.22522135313078198,-0.16390429147133537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frac_q10_dry,GP+logP,6495,189,0.48680541100293306,True,,,,,Northeast,lowflow,,0.19345556887952614,0.11205570484433636,0.08427130442315765,-0.026169576877623585,0.41308071463667584,,,,,,-0.4450832166125666,0.03474512590161729,1.4423329498479915e-37,-0.5131824120180463,-0.37698402120708696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frac_q10,GP+logP,8915,287,0.33411062858334095,True,,,,,South,lowflow,,0.4977368959645609,0.07649547913772345,7.679447389275749e-11,0.34780851187448786,0.6476652800546339,,,,,,-0.23584473505447748,0.0109828496594109,2.7304533930584476e-102,-0.2573707248345408,-0.2143187452744141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frac_q10_dry,GP+logP,8914,287,0.2996932210761213,True,,,,,South,lowflow,,0.9365639532095128,0.14063864841053395,2.750150377824886e-11,0.660917267490475,1.2122106389285507,,,,,,-0.410194423465264,0.02187851705477075,1.9826698052542953e-78,-0.45307552892776004,-0.367313318002768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frac_q10,GP+logP,8211,262,0.385540132629531,True,,,,,Interior,lowflow,,0.267005086001397,0.06930611369755713,0.00011689535368424861,0.13116759924574692,0.40284257275704705,,,,,,-0.3147692442925306,0.010313314709689487,1.3861563967177406e-204,-0.33498296968474917,-0.29455551890031206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frac_q10_dry,GP+logP,8211,262,0.30627819467813455,True,,,,,Interior,lowflow,,0.504558074866462,0.15067024038536975,0.0008117485439351856,0.20924983016914495,0.799866319563779,,,,,,-0.5773525764259926,0.02698914892648126,1.5852188992862422e-101,-0.6302503362952837,-0.5244548165567015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frac_q10,GP+logP,11374,336,0.23671322349687918,True,,,,,West,lowflow,,0.7114531954694944,0.06739814559780993,4.766607105187224e-26,0.5793552574730001,0.8435511334659886,,,,,,-0.09787444623445488,0.008271853748644285,2.659916051184722e-32,-0.11408698166718031,-0.08166191080172944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frac_q10_dry,GP+logP,11373,336,0.18821756615264273,True,,,,,West,lowflow,,1.4100106960684207,0.13298125374758285,2.8832922301425025e-26,1.149372228104176,1.6706491640326653,,,,,,-0.13027941279459815,0.014942777647965894,2.8177732787642507e-18,-0.15956671881360143,-0.10099210677559486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logC_low,GP+logP,3157,167,0.07798708252750586,True,,,,,TP_NE,c_dry,,1.828934104305712,0.5333631812885595,0.00060567664507738,0.7835614783004277,2.8743067303109964,,,,,,0.1786695796870915,0.15589171783403089,0.2517482525608976,-0.1268725727556895,0.48421173212987245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
