y,n,n_sites,r2_within,ok,xvars,beta_GP,se_GP,p_GP,ci95_lo_GP,ci95_hi_GP,beta_logP,se_logP,p_logP,ci95_lo_logP,ci95_hi_logP,sample,family,param,beta_p95share,se_p95share,p_p95share,ci95_lo_p95share,ci95_hi_p95share
logR,34530,1056,0.3515819103120913,True,GP+logP,0.22658244371377598,0.09994977776434746,0.02339248872841032,0.030684479032872636,0.4224804083946793,1.4132648928189373,0.03659185551807099,0.0,1.3415461738760248,1.4849836117618498,placebo_GPperm,placebo,R,,,,,
logRP,34530,1056,0.1231600559431284,True,GP+logP,0.22658244371377817,0.09994977776434748,0.02339248872840898,0.0306844790328748,0.42248040839468154,0.41326489281893813,0.036591855518070995,1.4064810139353883e-29,0.34154617387602576,0.4849836117618505,placebo_GPperm,placebo,RP,,,,,
logLoad,11507,637,0.3576368989113531,True,GP+logP,0.09178030281803679,0.1803000759348696,0.6107228177113023,-0.26160135242414456,0.44516195806021813,1.5245023133815485,0.060538185894939055,6.230638843654732e-140,1.4058496493380772,1.6431549774250198,placebo_GPperm,placebo,TN,,,,,
logLoad_w,11507,637,0.358252461694461,True,GP+logP,-1.0490954037535447,0.2566191346058722,4.3484238927495694e-05,-1.5520596653248906,-0.5461311421821989,1.4787756964788297,0.061666882245820384,4.490033184200547e-127,1.3579108282381491,1.5996405647195102,winsor_load,robust,TN,,,,,
logLoad,11507,637,0.35902951962263574,True,GP+logP,-1.0552113621039432,0.25679149255085154,3.9700694321733235e-05,-1.5585134390398978,-0.5519092851679885,1.4840497666900048,0.06179190807946049,1.8522656450969388e-127,1.3629398523182525,1.605159681061757,area_complete,robust,TN,,,,,
logC,11507,637,0.053306096328349484,True,GP+logP,0.2415401720907677,0.17372773369773045,0.1644264345746308,-0.0989599290725495,0.5820402732540849,0.11683853651313408,0.025289337382808988,3.836085832151921e-06,0.06727234604994603,0.16640472697632214,area_complete_C,si_national_c,TN,,,,,
logLoad,10962,600,0.2565138837480543,True,GP+logP,-0.1545556469360725,0.23076103426809325,0.5030076559068235,-0.6068389631367485,0.2977276692646035,1.4989199267658084,0.07992362132689576,1.7820230086688964e-78,1.3422725074510753,1.6555673460805416,placebo_GPperm,placebo,NO3N,,,,,
logLoad_w,10962,600,0.25681950484851757,True,GP+logP,-0.9796327534651357,0.3044401553571502,0.0012917013422050106,-1.5763244934129288,-0.38294101351734255,1.4579146487150023,0.08228619748859757,3.06674425075033e-70,1.296636665212601,1.6191926322174037,winsor_load,robust,NO3N,,,,,
logLoad,10962,600,0.2574821544949787,True,GP+logP,-0.9831868383149848,0.30469173121006304,0.0012517207234114852,-1.5803716578738671,-0.3860020187561024,1.4634494765535309,0.08255498253948931,2.596685540316239e-70,1.3016446840317988,1.625254269075263,area_complete,robust,NO3N,,,,,
logC,10962,600,0.021249427517913477,True,GP+logP,0.3539506335384444,0.22890779792708296,0.12204214470359682,-0.09470040617901065,0.8026016732558995,0.08319472019129831,0.034470052701644,0.01579855819697911,0.015634658350878475,0.15075478203171816,area_complete_C,si_national_c,NO3N,,,,,
logLoad,17881,989,0.2526855151064087,True,GP+logP,-0.021684907481417375,0.1980479707597817,0.9128113093126504,-0.40985179738183125,0.3664819824189965,1.537489932491169,0.05599098472240895,5.336313890802514e-166,1.427749618976315,1.647230246006023,placebo_GPperm,placebo,TP,,,,,
logLoad_w,17881,989,0.2527298177068035,True,GP+logP,-0.8654453660563255,0.28359965078511234,0.0022759133542486977,-1.4212904676232823,-0.30960026448936884,1.4976065991113185,0.058355234700462826,2.979486020162347e-145,1.3832324407890293,1.6119807574336078,winsor_load,robust,TP,,,,,
logLoad,17881,989,0.25327822891490503,True,GP+logP,-0.858911084783778,0.28395288474646596,0.002487674679137611,-1.4154485121931042,-0.30237365737445177,1.502229099339134,0.058502235770322965,2.0508204622170786e-145,1.3875668242142303,1.6168913744640379,area_complete,robust,TP,,,,,
logC,17881,989,0.024104376968321684,True,GP+logP,0.3085777576353449,0.2151343849862488,0.15147273657570806,-0.11307788877387726,0.730233404044567,0.13672779454029863,0.02658174098730496,2.694177206832721e-07,0.08462853955880872,0.18882704952178853,area_complete_C,si_national_c,TP,,,,,
logC,11657,647,0.05365377019349582,True,GP+logP,0.25423907048411226,0.17192511456133136,0.1391996677732715,-0.08272796209402,0.5912061030622445,0.11100558792254783,0.024450840505649215,5.62676290911615e-06,0.06308282113974226,0.1589283547053534,national_annual_C,si_national_c,TN,,,,,
logC_low,9765,647,0.038463110051604854,True,p95share+logP,,,,,,0.14556319194815573,0.03499145309609403,3.182974913888183e-05,0.07698120411308887,0.2141451797832226,p95_on_Clow,si_national_c,TN,-0.06976812986864418,0.09339508726545935,0.45505063664778267,-0.25281913724191996,0.11328287750463158
logC,11145,612,0.021706266287617182,True,GP+logP,0.34136114437393306,0.22803336602277605,0.13439874048928782,-0.10557604030414763,0.7882983290520138,0.07223255728810651,0.0335005292602114,0.031071042977658166,0.0065727264750619074,0.13789238810115112,national_annual_C,si_national_c,NO3N,,,,,
logC_low,9342,612,0.015049922192568621,True,p95share+logP,,,,,,0.2005617619171103,0.0474644465192009,2.3839424805589522e-05,0.10753315619334902,0.2935903676408716,p95_on_Clow,si_national_c,NO3N,-0.0032465725370063505,0.13757347287825925,0.981172608095671,-0.2728856246064924,0.26639247953247974
logC,18129,1006,0.0243284813133563,True,GP+logP,0.30618802257241345,0.21274902419620895,0.150094362074651,-0.11079240259819662,0.7231684477430236,0.13609725611363765,0.02595662223989658,1.577660561923191e-07,0.08522321136312896,0.18697130086414634,national_annual_C,si_national_c,TP,,,,,
logC_low,15331,1004,0.023602498099218105,True,p95share+logP,,,,,,0.06905209401559889,0.033643779247121065,0.040126182445253844,0.0031114983874255125,0.13499268964377226,p95_on_Clow,si_national_c,TP,0.028010028361556836,0.11761748529245258,0.8117685522983744,-0.20251600676381973,0.2585360634869334
logR_w,34530,1056,0.3534923999087104,True,GP+logP,-1.4307213482648204,0.13242088228367727,3.28279406732947e-27,-1.690261508341846,-1.171181188187795,1.3485800044803609,0.03777309829285449,3.663690351042283e-279,1.2745460922418748,1.422613916718847,winsor_R,robust,R,,,,,
logR,34530,1056,0.35471720007834384,True,GP+logP,-1.4417892412971294,0.1322433536979664,1.1207664485498072e-27,-1.7009814517399353,-1.1825970308543234,1.3533157130557558,0.03778099907220164,5.3915123024925526e-281,1.2792663155742994,1.4273651105372123,area_complete,robust,R,,,,,
logC_low,5671,555,0.074983193577282,True,GP+logP,-0.1843045397258095,0.19495542096100063,0.3444712339990349,-0.5664101434002159,0.19780106394859687,-0.005959754783765337,0.027833704573672072,0.8304534247946995,-0.060512813304490376,0.048593303736959706,europe_dryC,si_europe,TN,,,,,
logC_low,9430,841,0.0369648497975108,True,GP+logP,-0.6043479648656318,0.23260002176033362,0.009370616264671722,-1.0602356303191185,-0.14846029941214506,0.030758915050127792,0.04040112501067818,0.4464551597416321,-0.04842583490570185,0.10994366500595742,europe_dryC,si_europe,NO3N,,,,,
logC_low,16843,1880,0.07300824064000022,True,GP+logP,0.08361896403834498,0.20898007288144624,0.6890615885088649,-0.3259744522958453,0.49321238037253523,-0.03411890826622538,0.031856163534300735,0.28415592044383553,-0.09655584147907302,0.028318024946622264,europe_dryC,si_europe,TP,,,,,
