y,n,n_sites,r2_within,ok,xvars,beta_GP,se_GP,p_GP,ci95_lo_GP,ci95_hi_GP,beta_logP,se_logP,p_logP,ci95_lo_logP,ci95_hi_logP,sample,family,beta_nwet_frac,se_nwet_frac,p_nwet_frac,ci95_lo_nwet_frac,ci95_hi_nwet_frac,beta_logPET,se_logPET,p_logPET,ci95_lo_logPET,ci95_hi_logPET,beta_GP_x_logPET,se_GP_x_logPET,p_GP_x_logPET,ci95_lo_GP_x_logPET,ci95_hi_GP_x_logPET,beta_logR_dry,se_logR_dry,p_logR_dry,ci95_lo_logR_dry,ci95_hi_logR_dry,beta_log_pet_site,se_log_pet_site,p_log_pet_site,ci95_lo_log_pet_site,ci95_hi_log_pet_site,beta_nwet_site,se_nwet_site,p_nwet_site,ci95_lo_nwet_site,ci95_hi_nwet_site,beta_south,se_south,p_south,ci95_lo_south,ci95_hi_south,beta_northeast,se_northeast,p_northeast,ci95_lo_northeast,ci95_hi_northeast
nwet_frac,35016,1075,0.8899128100103452,True,GP+logP,-1.2542536232601225,0.008882001973920327,0.0,-1.27166202723962,-1.236845219280625,0.0685567201731277,0.0011660223810718887,0.0,0.06627135830105915,0.07084208204519624,all,nwet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nwet_frac,6495,189,0.9263717364675558,True,GP+logP,-1.3671359947480985,0.009296517854665419,0.0,-1.3853568349248764,-1.3489151545713207,0.08355565889236627,0.001259238263406615,0.0,0.08108759724813454,0.086023720536598,Northeast,nwet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nwet_frac,8936,288,0.8916685447303186,True,GP+logP,-1.3972750866027566,0.011424537403226107,0.0,-1.4196667684531106,-1.3748834047524026,0.06936763089343988,0.0014873235396728908,0.0,0.06645253032232239,0.07228273146455737,South,nwet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nwet_frac,8211,262,0.9113074340268887,True,GP+logP,-1.334515621216136,0.011748472315541924,0.0,-1.357542203827964,-1.3114890386043079,0.07611353416904024,0.0014859830500781699,0.0,0.07320106090925005,0.07902600742883042,Interior,nwet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nwet_frac,11374,336,0.9045197140799807,True,GP+logP,-1.0108602454593696,0.015367754736862225,0.0,-1.0409804912668643,-0.9807399996518749,0.06683510889874833,0.002208458919751983,3.4942756869709196e-201,0.06250660895469821,0.07116360884279845,West,nwet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frac_q10,34995,1074,0.22119076894044187,True,GP+nwet_frac+logP,0.38854089408366005,0.07991314759786725,1.161823286505786e-06,0.2319140029006067,0.5451677852667134,-0.1968197552714501,0.008824410608319793,3.378185444506169e-110,-0.2141152822485501,-0.1795242282943501,all,q10_ctrl_nwet,-0.14179219198750248,0.0573661215589724,0.013447001907167688,-0.2542277241758351,-0.029356659799169835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logR_dry,34461,1056,0.17359247147174395,True,GP+nwet_frac+logP,1.2286965653501167,0.5327366112613815,0.02108904176050333,0.1845519940318936,2.27284113666834,1.2460199914531889,0.06238375055174409,9.371068639661217e-89,1.1237500871512398,1.368289895755138,all,Rdry_ctrl_nwet,2.9461360821496867,0.4055795056191216,3.7576309344813827e-13,2.1512148582686477,3.7410573060307257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frac_q10,6495,189,0.4799943811632812,True,GP+nwet_frac+logP,-0.056512454897781526,0.11092777713796775,0.6104349490168295,-0.2739269029732839,0.16090199317772086,-0.18710874671216024,0.018012823173318124,2.8257523407630125e-25,-0.22241323139175226,-0.15180426203256822,Northeast,q10_ctrl_nwet,-0.08921090070632748,0.07554164496770421,0.2376226126062202,-0.23726980417593915,0.058848002763284196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logR_dry,6461,188,0.5133820854022992,True,GP+nwet_frac+logP,2.114764416706992,0.6453258420885081,0.00104898156896045,0.8499490079205341,3.37957982549345,1.2674320346579055,0.10620224092807297,7.857003245217897e-33,1.0592794673614367,1.4755846019543744,Northeast,Rdry_ctrl_nwet,1.6062720143208584,0.4732154609608974,0.0006878475158109803,0.6787867539099796,2.5337572747317374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frac_q10,8915,287,0.3361200103113785,True,GP+nwet_frac+logP,1.1023836734532935,0.1525477504193374,4.956638762090827e-13,0.8033955767087873,1.4013717701977997,-0.26585435460702445,0.014238823738411632,8.509871725028603e-78,-0.2937619363165252,-0.23794677289752367,South,q10_ctrl_nwet,0.43268719161823127,0.09572920043753004,6.186647153410013e-06,0.2450614064918564,0.6203129767446062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
